dr_name,speciality,qualification,years_of_experience,location,city,dp_score%,npv,consultation_fee_₹,additional_qualification
Dr. Arati Sundar Rajan,Dentist,BDS,26.0,Basavanagudi,Bangalore,97.0,119.0,450.0,Not Applicable
Dr. Shantipriya Reddy,Dentist,BDS,32.0,Domlur,Bangalore,93.0,16.0,300.0,MDS
Dr. Akshai Shetty,Dentist,BDS,22.0,Jayanagar 9 Block,Bangalore,97.0,96.0,650.0,MDS
Dr. Mir Sujath Ali,Dentist,BDS,21.0,Jayanagar 9 Block,Bangalore,98.0,153.0,650.0,MDS
Dr. Kiran Raj N,Dentist,BDS,13.0,Banaswadi,Bangalore,100.0,81.0,400.0,Not Applicable
Dr. Raghu T Narayan,Dentist,BDS,23.0,HAL 2nd Stage,Bangalore,94.0,70.0,500.0,Others
Dr. Roma Haider,Dentist,BDS,24.0,Koramangala 5 Block,Bangalore,97.0,30.0,600.0,Not Applicable
Dr. Ramya,Dentist,BDS,22.0,Indiranagar,Bangalore,94.0,1138.0,400.0,MDS
Dr. Sathyadeep V,Dentist,BDS,16.0,BTM Layout 2nd Stage,Bangalore,99.0,308.0,350.0,MDS
Dr. Chandan Mahesh,Dentist,BDS,12.0,HSR Layout,Bangalore,100.0,734.0,250.0,Not Applicable
Dr. Anjan Shah,Dentist,MDS,27.0,Yeshwanthpur,Bangalore,99.0,21.0,750.0,BDS
Dr. Pranay,Dentist,BDS,12.0,Marathahalli,Bangalore,97.0,1061.0,550.0,MDS
Dr. Jaswanth Reddy,Dentist,BDS,16.0,Marathahalli,Bangalore,96.0,18.0,350.0,MDS
Dr. Vinay Anvekar,Dentist,BDS,19.0,BTM Layout 1st Stage,Bangalore,97.0,181.0,200.0,MDS
Dr. Kamal Odedra,Dentist,BDS,11.0,Marathahalli,Bangalore,100.0,33.0,550.0,MDS
Dr. Rashmi Shetty,Dentist,BDS,17.0,Koramangala,Bangalore,99.0,2625.0,350.0,MDS
Dr. Krishnanand,Dentist,BDS,11.0,Varthur,Bangalore,100.0,1143.0,200.0,MDS
Dr. Mridula Singh,Dentist,BDS,18.0,HSR Layout,Bangalore,97.0,689.0,600.0,Not Applicable
Dr. Mahantesh,Dentist,BDS,14.0,Sarjapur Road,Bangalore,99.0,574.0,550.0,MDS
