dr_name,speciality,qualification,years_of_experience,location,city,dp_score%,npv,consultation_fee_₹
Dr. Arati Sundar Rajan,Dentist,BDS,26 years experience overall,"Basavanagudi,",Bangalore,97% ,119 Patient Stories,₹450
Dr. Shantipriya Reddy,Dentist,"BDS, MDS - Periodontics",32 years experience overall,"Domlur,",Bangalore,93% ,16 Patient Stories,₹300
Dr. Akshai Shetty,Dentist,"BDS, MDS - Orthodontics",22 years experience overall,"Jayanagar 9 Block,",Bangalore,97% ,96 Patient Stories,₹650
Dr. Mir Sujath Ali,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",21 years experience overall,"Jayanagar 9 Block,",Bangalore,98% ,153 Patient Stories,₹650
Dr. Kiran Raj N,Dentist,BDS,13 years experience overall,"Banaswadi,",Bangalore,100% ,81 Patient Stories,₹400
Dr. Raghu T Narayan,Dentist,"BDS, MDS, Certificate of Oral Implantology, PGCE(Endodontics), PGCE(Endodontics), FICOI",23 years experience overall,"HAL 2nd Stage,",Bangalore,94% ,70 Patient Stories,₹500
Dr. Roma Haider,Dentist,BDS,24 years experience overall,"Koramangala 5 Block,",Bangalore,97% ,30 Patient Stories,₹600
Dr. Ramya,Dentist,"BDS, MDS - Prosthodontics",22 years experience overall,"Indiranagar,",Bangalore,94% ,1138 Patient Stories,₹400
Dr. Sathyadeep V,Dentist,"BDS, MDS - Orthodontics",16 years experience overall,"BTM Layout 2nd Stage,",Bangalore,99% ,308 Patient Stories,₹350
Dr. Chandan Mahesh,Dentist,BDS,12 years experience overall,"HSR Layout,",Bangalore,100% ,734 Patient Stories,₹250
Dr. Arati Sundar Rajan,Dentist,BDS,26 years experience overall,"Basavanagudi,",Bangalore,97% ,119 Patient Stories,₹450
Dr. Shantipriya Reddy,Dentist,"BDS, MDS - Periodontics",32 years experience overall,"Domlur,",Bangalore,93% ,16 Patient Stories,₹300
Dr. Akshai Shetty,Dentist,"BDS, MDS - Orthodontics",22 years experience overall,"Jayanagar 9 Block,",Bangalore,97% ,96 Patient Stories,₹650
Dr. Mir Sujath Ali,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",21 years experience overall,"Jayanagar 9 Block,",Bangalore,98% ,153 Patient Stories,₹650
Dr. Kiran Raj N,Dentist,BDS,13 years experience overall,"Banaswadi,",Bangalore,100% ,81 Patient Stories,₹400
Dr. Raghu T Narayan,Dentist,"BDS, MDS, Certificate of Oral Implantology, PGCE(Endodontics), PGCE(Endodontics), FICOI",23 years experience overall,"HAL 2nd Stage,",Bangalore,94% ,70 Patient Stories,₹500
Dr. Roma Haider,Dentist,BDS,24 years experience overall,"Koramangala 5 Block,",Bangalore,97% ,30 Patient Stories,₹600
Dr. Ramya,Dentist,"BDS, MDS - Prosthodontics",22 years experience overall,"Indiranagar,",Bangalore,94% ,1138 Patient Stories,₹400
Dr. Sathyadeep V,Dentist,"BDS, MDS - Orthodontics",16 years experience overall,"BTM Layout 2nd Stage,",Bangalore,99% ,308 Patient Stories,₹350
Dr. Chandan Mahesh,Dentist,BDS,12 years experience overall,"HSR Layout,",Bangalore,100% ,734 Patient Stories,₹250
Dr. Anjan Shah,Dentist,"MDS - Oral & Maxillofacial Surgery, BDS",27 years experience overall,"Yeshwanthpur,",Bangalore,99% ,21 Patient Stories,₹750
Dr. Pranay,Dentist,"BDS, MDS - Oral Pathology and Oral Microbiology",12 years experience overall,"Marathahalli,",Bangalore,97% ,1061 Patient Stories,₹550
Dr. Jaswanth Reddy,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",16 years experience overall,"Marathahalli,",Bangalore,96% ,18 Patient Stories,₹350
Dr. Vinay Anvekar,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",19 years experience overall,"BTM Layout 1st Stage,",Bangalore,97% ,181 Patient Stories,₹200
Dr. Kamal Odedra,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",11 years experience overall,"Marathahalli,",Bangalore,100% ,33 Patient Stories,₹550
Dr. Rashmi Shetty,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",17 years experience overall,"Koramangala,",Bangalore,99% ,2625 Patient Stories,₹350
Dr. Krishnanand,Dentist,"BDS, MDS - Periodontics",11 years experience overall,"Varthur,",Bangalore,100% ,1143 Patient Stories,₹200
Dr. Mridula Singh,Dentist,BDS,18 years experience overall,"HSR Layout,",Bangalore,97% ,689 Patient Stories,₹600
Dr. Mahantesh,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",14 years experience overall,"Sarjapur Road,",Bangalore,99% ,574 Patient Stories,₹550
Dr. T. Ramakrishna,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",24 years experience overall,"JP Nagar 5 Phase,",Bangalore,95% ,347 Patient Stories,₹500
Dr. Karthikeyan B.V,Dentist,"BDS, MDS - Periodontics",22 years experience overall,"Yelahanka,",Bangalore,92% ,458 Patient Stories,₹300
Dr. M. R. Pujari,Dentist,"BDS, MDS - Oral Medicine and Radiology",16 years experience overall,"Marathahalli,",Bangalore,96% ,1423 Patient Stories,₹200
Dr. Umesh B M,Dentist,BDS,17 years experience overall,"JP Nagar 6 Phase,",Bangalore,100% ,142 Patient Stories,₹300
Dr. Abhinav Diwan,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",23 years experience overall,"Horamavu,",Bangalore,99% ,143 Patient Stories,₹400
Dr. Sudhakara Reddy,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery, FICOI, DICOI",18 years experience overall,"Sahakaranagar,",Bangalore,98% ,128 Patient Stories,₹500
Dr. (Col) M. C. Sharma,Dentist,"BDS, MDS - Prosthodontics",36 years experience overall,"Frazer Town,",Bangalore,96% ,369 Patient Stories,₹500
Dr. Baswaraj Biradar,Dentist,BDS,25 years experience overall,"Sahakaranagar,",Bangalore,99% ,409 Patient Stories,₹400
Dr. K.A. Mohan,Dentist,"BDS, MDS - Orthodontics",53 years experience overall,"Domlur,",Bangalore,100% ,9 Patient Stories,₹500
Dr. Priya Verma,Dentist,BDS,26 years experience overall,"Whitefield,",Bangalore,97% ,234 Patient Stories,₹500
Dr. Pamela Bhattacharjee,Dentist,BDS,23 years experience overall,"Mahadevapura,",Bangalore,98% ,128 Patient Stories,₹350
Dr. Pamela Bhattacharjee,Dentist,BDS,23 years experience overall,"Mahadevapura,",Bangalore,98% ,128 Patient Stories,₹350
Dr. Bharath Shetty,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",23 years experience overall,"HSR Layout,",Bangalore,96% ,182 Patient Stories,₹300
Dr. Adarsha Kannan,Dentist,BDS,27 years experience overall,"Seegehalli,",Bangalore,95% ,55 Patient Stories,₹400
Dr. Anupriya. A,Dentist,BDS,25 years experience overall,"Marathahalli,",Bangalore,99% ,146 Patient Stories,₹400
Dr. Raghunandana D Karantha,Dentist,BDS,33 years experience overall,"Vijayanagar,",Bangalore,99% ,146 Patient Stories,₹500
Dr. Subash,Dentist,"MDS - Prosthodontics, BDS",29 years experience overall,"Sarjapur Road,",Bangalore,94% ,24 Patient Stories,₹300
Dr. Suresh S,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",28 years experience overall,"JP Nagar 7 Phase,",Bangalore,97% ,132 Patient Stories,₹500
Dr. Joseph Jaganathan,Dentist,BDS,23 years experience overall,"Indiranagar,",Bangalore,98% ,43 Patient Stories,₹300
Dr. Sunila Sampath Kumar,Dentist,BDS,27 years experience overall,"HSR Layout,",Bangalore,94% ,119 Patient Stories,₹400
Dr. Keerthi R,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",17 years experience overall,"Vijayanagar,",Bangalore,100% ,42 Patient Stories,₹300
Dr. Smitha Shetty,Dentist,"BDS, MDS - Orthodontics",19 years experience overall,"Vijayanagar,",Bangalore,100% ,65 Patient Stories,₹300
Dr. Supreeth Manipal,Dentist,"BDS, MDS - Orthodontics",24 years experience overall,"JP Nagar,",Bangalore,98% ,163 Patient Stories,₹350
Dr. Bijina Rajan,Dentist,"BDS, MDS - Oral Medicine and Radiology",12 years experience overall,"Kalyan Nagar,",Bangalore,99% ,232 Patient Stories,₹300
Dr. Shilpa Shashikiran,Dentist,BDS,24 years experience overall,"Sadashivanagar,",Bangalore,99% ,201 Patient Stories,₹500
Dr. Reena John,Dentist,BDS,28 years experience overall,"Indiranagar,",Bangalore,99% ,62 Patient Stories,₹500
Dr. Yogesh T Lakkashetty,Dentist,"BDS, MDS- Oral Pathology",20 years experience overall,"Sanjay Nagar,",Bangalore,100% ,434 Patient Stories,₹300
Dr. Shambhu H Shivanna,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",23 years experience overall,"Kundalahalli,",Bangalore,98% ,98 Patient Stories,₹400
Dr. Manjunath G S,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery, FICOI",20 years experience overall,"Kalyan Nagar,",Bangalore,99% ,157 Patient Stories,₹350
Dr. Abhisheak R Naik,Dentist,"BDS, MDS - Oral Medicine and Radiology",11 years experience overall,"Harlur,",Bangalore,100% ,274 Patient Stories,₹200
Dr. Utkarsha Lokesh,Dentist,"MDS - Oral & Maxillofacial Surgery, Fellowship in Aesthetic Medicine (FAM), BDS",24 years experience overall,"Malleswaram,",Bangalore,98% ,296 Patient Stories,₹400
Dr. Devaraju Devaiah,Dentist,"BDS, MDS - Oral Medicine and Radiology",17 years experience overall,"Yelahanka,",Bangalore,99% ,213 Patient Stories,₹350
Dr. Sowmya,Dentist,BDS,18 years experience overall,"New BEL Road,",Bangalore,98% ,49 Patient Stories,₹300
Dr. Sandhya Rachuri,Dentist,BDS,18 years experience overall,"JP Nagar,",Bangalore,99% ,169 Patient Stories,₹350
Dr. Shivaprasad BM,Dentist,"BDS, MDS - Periodontics, FICOI",21 years experience overall,"Gubbalala,",Bangalore,100% ,47 Patient Stories,₹300
Dr. Rajesh R N G,Dentist,"BDS, MDS - Orthodontics",24 years experience overall,"West Of Chord Road,",Bangalore,97% ,141 Patient Stories,₹350
Dr. Abhilash Ravindranath,Dentist,"MDS- Oral Pathology, BDS",19 years experience overall,"HSR Layout,",Bangalore,97% ,803 Patient Stories,₹600
Dr. Anju Thomas,Dentist,"MDS - Prosthodontist And Crown Bridge, BDS",11 years experience overall,"Indiranagar,",Bangalore,100% ,143 Patient Stories,₹400
Dr. Raghavendra,Dentist,"BDS, MDS - Oral Pathology and Oral Microbiology",12 years experience overall,"Kundalahalli,",Bangalore,100% ,676 Patient Stories,₹200
Dr. Poorvi Shrivastava,Dentist,"MDS - Conservative Dentistry & Endodontics, BDS",11 years experience overall,"Marathahalli,",Bangalore,98% ,36 Patient Stories,₹100
Dr. Bharath,Dentist,BDS,16 years experience overall,"Singasandra,",Bangalore,99% ,207 Patient Stories,₹400
Dr. Anupama Kiran,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",23 years experience overall,"Whitefield,",Bangalore,100% ,20 Patient Stories,₹500
Dr. Sunil Rao,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",26 years experience overall,"Vijayanagar,",Bangalore,97% ,148 Patient Stories,₹500
Dr. Shyam Padmanabhan,Dentist,"BDS, MDS - Periodontics",24 years experience overall,"New Thippasandra,",Bangalore,99% ,217 Patient Stories,₹500
Dr. Swetha Raghavendra,Dentist,BDS,20 years experience overall,"Rajajinagar,",Bangalore,95% ,25 Patient Stories,₹300
Dr. Deepak Daryani,Dentist,"MDS - Oral Medicine and Radiology, BDS",19 years experience overall,"HSR Layout,",Bangalore,99% ,372 Patient Stories,₹500
Dr. Pavan Tambakad,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",25 years experience overall,"Koramangala,",Bangalore,93% ,57 Patient Stories,₹400
Dr. KR Nagaraj,Dentist,MDS - Prosthodontics,32 years experience overall,"Jayanagar 7 Block,",Bangalore,99% ,78 Patient Stories,₹500
Dr. Vinod,Dentist,"BDS, MDS - Orthodontics",18 years experience overall,"Horamavu,",Bangalore,98% ,267 Patient Stories,₹400
Dr. Chandnani Priya,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",14 years experience overall,"Electronics City,",Bangalore,99% ,51 Patient Stories,₹350
Dr. Idris Md,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",13 years experience overall,"Jayanagar 5 Block,",Bangalore,99% ,128 Patient Stories,₹300
Dr. Sujatha Pai B,Dentist,"BDS, MDS - Periodontology and Oral Implantology",21 years experience overall,"Jayanagar 4 Block,",Bangalore,98% ,41 Patient Stories,₹500
Dr. Raju Srinivas,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics, Diploma in Implanthology",26 years experience overall,"Jayanagar,",Bangalore,97% ,73 Patient Stories,₹500
Dr. Rajesh Naik,Dentist,"BDS, MDS - Periodontics, FICOI",24 years experience overall,"Kalyan Nagar,",Bangalore,97% ,121 Patient Stories,₹700
Dr. Rohit Nair,Dentist,"MDS - Conservative Dentistry & Endodontics, BDS",8 years experience overall,"Belathur,",Bangalore,99% ,443 Patient Stories,₹400
Dr. Namratha Umesh,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",23 years experience overall,"Sahakaranagar,",Bangalore,98% ,130 Patient Stories,₹500
Dr. Javad Saleem,Dentist,"BDS, MDS - Prosthodontics",15 years experience overall,"Marathahalli,",Bangalore,95% ,37 Patient Stories,₹200
Dr. Neha Singh,Dentist,"MDS - Orthodontics and Dentofacial Orthopaedics, BDS",9 years experience overall,"Hegde Nagar,",Bangalore,100% ,365 Patient Stories,₹350
Dr. Sushma B T,Dentist,BDS,12 years experience overall,"JP Nagar 6 Phase,",Bangalore,100% ,9 Patient Stories,₹350
Dr. Punyatoya Sahoo,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",11 years experience overall,"Marathahalli,",Bangalore,88% ,33 Patient Stories,₹200
